chat_id;user_id;message;extraversion_pole;context_0;context_1;context_2;distractor_1;distractor_2
103CEEC1-D5CE-4FD2-A9F9-9921751F8905;speaker1;Einkaufen finde ich auch leichter. Aber die vegetarischen Gerichte in Restaurants finde ich meistens langweilig.;extrovert;Ich lebe nicht vegetarisch, versuche aber meinen Fleischkonsum zu reduzieren. Vor allem beim Einkaufen fällt es mir etwas leichter auf fleischhaltige Lebensmittel zu verzichten.;Ich bin nicht vegan, versuche aber, vegetarisch zu leben. Und du? ;Hi;Das tur mir leid.;Das hab ich nicht verstanden.
103CEEC1-D5CE-4FD2-A9F9-9921751F8905;speaker2;Mit dem Start der Grillsaison fliegen aber alle meine Grundsätze oft davon. Dann sind wir wieder bei der deutschen Leitkultur mit Bratwurst und Nackensteak.;extrovert;Einkaufen finde ich auch leichter. Aber die vegetarischen Gerichte in Restaurants finde ich meistens langweilig.;Ich lebe nicht vegetarisch, versuche aber meinen Fleischkonsum zu reduzieren. Vor allem beim Einkaufen fällt es mir etwas leichter auf fleischhaltige Lebensmittel zu verzichten.;Ich bin nicht vegan, versuche aber, vegetarisch zu leben. Und du? ;Was hast du morgen so vor?;Ich mag Suppe.
103CEEC1-D5CE-4FD2-A9F9-9921751F8905;speaker1;Bratwurst finde ich ja eklig. Aber Hühnchen ...;extrovert;Mit dem Start der Grillsaison fliegen aber alle meine Grundsätze oft davon. Dann sind wir wieder bei der deutschen Leitkultur mit Bratwurst und Nackensteak.;Einkaufen finde ich auch leichter. Aber die vegetarischen Gerichte in Restaurants finde ich meistens langweilig.;Ich lebe nicht vegetarisch, versuche aber meinen Fleischkonsum zu reduzieren. Vor allem beim Einkaufen fällt es mir etwas leichter auf fleischhaltige Lebensmittel zu verzichten.;Ich mag Suppe.;Was ist dein Hobby?
107CA776-D145-477B-BB14-AA144A41CE5C;speaker1;Hey.;extrovert;Hi!;Hallo;Hi;Was ist dein Hobby?;Das hab ich nicht verstanden.
107CA776-D145-477B-BB14-AA144A41CE5C;speaker2;Hi. Wie geht es dir?;extrovert;Hey.;Hallo;Hi;Was ist dein Lieblingsessen?;Super cool!
107CA776-D145-477B-BB14-AA144A41CE5C;speaker1;15 Minuten gehen ganz schön schnell herum, das letzte Gespräch war noch gar nicht zuende.  Alles ganz gut aber noch etwas müde, und dir?;extrovert;Hi. Wie geht es dir?;Hey.;Hi;Was hast du morgen so vor?;Ich liebe Eis.
107CA776-D145-477B-BB14-AA144A41CE5C;speaker2;Ja, das stimmt. 15 Minuten können aber auch echt lang sein. Mir geht es so weit ganz . Bist du ein spät Aufsteher?;extrovert;15 Minuten gehen ganz schön schnell herum, das letzte Gespräch war noch gar nicht zuende.  Alles ganz gut aber noch etwas müde, und dir?;Hi. Wie geht es dir?;Hey.;Ich liebe Eis.;Was ist dein Lieblingsessen?
107CA776-D145-477B-BB14-AA144A41CE5C;speaker1;Früher schon, momentan bin ich aber echt immer früh wach. Vielleicht liegt das auch an der Sonne die so früh schon aktiv ist.;extrovert;Ja, das stimmt. 15 Minuten können aber auch echt lang sein. Mir geht es so weit ganz . Bist du ein spät Aufsteher?;15 Minuten gehen ganz schön schnell herum, das letzte Gespräch war noch gar nicht zuende.  Alles ganz gut aber noch etwas müde, und dir?;Hi. Wie geht es dir?;Was hast du morgen so vor?;Das tur mir leid.
107CA776-D145-477B-BB14-AA144A41CE5C;speaker2;Ja, die macht mich auch immer schon um 5 Uhr wach.;extrovert;Früher schon, momentan bin ich aber echt immer früh wach. Vielleicht liegt das auch an der Sonne die so früh schon aktiv ist.;Ja, das stimmt. 15 Minuten können aber auch echt lang sein. Mir geht es so weit ganz . Bist du ein spät Aufsteher?;15 Minuten gehen ganz schön schnell herum, das letzte Gespräch war noch gar nicht zuende.  Alles ganz gut aber noch etwas müde, und dir?;Ich mag Suppe.;Das hab ich nicht verstanden.
107CA776-D145-477B-BB14-AA144A41CE5C;speaker1;Oh okay 5 Uhr ist doch etwas früh, kannst du danach nochmal einschlafen oder stehst du dann tatsächlich auf?;extrovert;Ja, die macht mich auch immer schon um 5 Uhr wach.;Früher schon, momentan bin ich aber echt immer früh wach. Vielleicht liegt das auch an der Sonne die so früh schon aktiv ist.;Ja, das stimmt. 15 Minuten können aber auch echt lang sein. Mir geht es so weit ganz . Bist du ein spät Aufsteher?;Das tur mir leid.;Ich bin vegan.
107CA776-D145-477B-BB14-AA144A41CE5C;speaker2;Ne, ich schlafe danach noch bis 7 Uhr weiter . dadurch bin ich aber auch oft müde. Da hilft nur ganz viel grüner Tee.;extrovert;Oh okay 5 Uhr ist doch etwas früh, kannst du danach nochmal einschlafen oder stehst du dann tatsächlich auf?;Ja, die macht mich auch immer schon um 5 Uhr wach.;Früher schon, momentan bin ich aber echt immer früh wach. Vielleicht liegt das auch an der Sonne die so früh schon aktiv ist.;Ich mag Suppe.;Was hast du morgen so vor?
107CA776-D145-477B-BB14-AA144A41CE5C;speaker1;Grüner Tee ist super! Trinkst du keinen Kaffee für das Wachwerden?;extrovert;Ne, ich schlafe danach noch bis 7 Uhr weiter . dadurch bin ich aber auch oft müde. Da hilft nur ganz viel grüner Tee.;Oh okay 5 Uhr ist doch etwas früh, kannst du danach nochmal einschlafen oder stehst du dann tatsächlich auf?;Ja, die macht mich auch immer schon um 5 Uhr wach.;Was hast du morgen so vor?;Ich bin vegan.
107CA776-D145-477B-BB14-AA144A41CE5C;speaker2;Gegen Kaffee bin ich tatsächlich etwas empfindlich. Wenn ich davon zu viel trinke kann ich abends nicht einschlafen und werde manchmal sogar etwas zittrig. Du magst also auch gerne grünen Tee?;extrovert;Grüner Tee ist super! Trinkst du keinen Kaffee für das Wachwerden?;Ne, ich schlafe danach noch bis 7 Uhr weiter . dadurch bin ich aber auch oft müde. Da hilft nur ganz viel grüner Tee.;Oh okay 5 Uhr ist doch etwas früh, kannst du danach nochmal einschlafen oder stehst du dann tatsächlich auf?;Super cool!;Das hab ich nicht verstanden.
107CA776-D145-477B-BB14-AA144A41CE5C;speaker1;Grünen Tee finde ich klasse, ich mag den Geschmack und auch gerne in Kombination mit Zitrone oder so. Momentan trinke ich auch keinen Kaffee mehr und bin wieder auf Tee umgestiegen. Magst du noch andere Teesorten?;extrovert;Gegen Kaffee bin ich tatsächlich etwas empfindlich. Wenn ich davon zu viel trinke kann ich abends nicht einschlafen und werde manchmal sogar etwas zittrig. Du magst also auch gerne grünen Tee?;Grüner Tee ist super! Trinkst du keinen Kaffee für das Wachwerden?;Ne, ich schlafe danach noch bis 7 Uhr weiter . dadurch bin ich aber auch oft müde. Da hilft nur ganz viel grüner Tee.;Wie meinst du das?;Wie meinst du das?
107CA776-D145-477B-BB14-AA144A41CE5C;speaker2;Grünen Tee mit Zitrone mag ich auch sehr gerne, oder Ingwer. . Ansonsten trinke ich super gerne Matcha, das ist ja quasi ein grüner Tee, und ChaiTee. Und du?;extrovert;Grünen Tee finde ich klasse, ich mag den Geschmack und auch gerne in Kombination mit Zitrone oder so. Momentan trinke ich auch keinen Kaffee mehr und bin wieder auf Tee umgestiegen. Magst du noch andere Teesorten?;Gegen Kaffee bin ich tatsächlich etwas empfindlich. Wenn ich davon zu viel trinke kann ich abends nicht einschlafen und werde manchmal sogar etwas zittrig. Du magst also auch gerne grünen Tee?;Grüner Tee ist super! Trinkst du keinen Kaffee für das Wachwerden?;Ich bin vegan.;Was ist dein Lieblingsessen?
107CA776-D145-477B-BB14-AA144A41CE5C;speaker1;So richtig guten Matcha hätte ich auch mal gerne. Ist allerdings schon ein wenig Luxus. Ansonsten mag ich momentan auch KurkumaIngwer sehr gerne, der letzte ist aber ziemlich scharf geworden weil ich ihn zu lange habe stehen lassen.;extrovert;Grünen Tee mit Zitrone mag ich auch sehr gerne, oder Ingwer. . Ansonsten trinke ich super gerne Matcha, das ist ja quasi ein grüner Tee, und ChaiTee. Und du?;Grünen Tee finde ich klasse, ich mag den Geschmack und auch gerne in Kombination mit Zitrone oder so. Momentan trinke ich auch keinen Kaffee mehr und bin wieder auf Tee umgestiegen. Magst du noch andere Teesorten?;Gegen Kaffee bin ich tatsächlich etwas empfindlich. Wenn ich davon zu viel trinke kann ich abends nicht einschlafen und werde manchmal sogar etwas zittrig. Du magst also auch gerne grünen Tee?;Was hast du morgen so vor?;Ich liebe Eis.
107CA776-D145-477B-BB14-AA144A41CE5C;speaker2;Da passen wir ja gut zusammen .  Magst du denn auch so KurkumaIngwer Shots oder nur Tee?;extrovert;So richtig guten Matcha hätte ich auch mal gerne. Ist allerdings schon ein wenig Luxus. Ansonsten mag ich momentan auch KurkumaIngwer sehr gerne, der letzte ist aber ziemlich scharf geworden weil ich ihn zu lange habe stehen lassen.;Grünen Tee mit Zitrone mag ich auch sehr gerne, oder Ingwer. . Ansonsten trinke ich super gerne Matcha, das ist ja quasi ein grüner Tee, und ChaiTee. Und du?;Grünen Tee finde ich klasse, ich mag den Geschmack und auch gerne in Kombination mit Zitrone oder so. Momentan trinke ich auch keinen Kaffee mehr und bin wieder auf Tee umgestiegen. Magst du noch andere Teesorten?;Was ist dein Lieblingsessen?;Was hast du morgen so vor?
107CA776-D145-477B-BB14-AA144A41CE5C;speaker1;Schon irgendwie . die Shots habe ich noch nicht probiert, nur Kurkuma oder nur Ingwer.;extrovert;Da passen wir ja gut zusammen .  Magst du denn auch so KurkumaIngwer Shots oder nur Tee?;So richtig guten Matcha hätte ich auch mal gerne. Ist allerdings schon ein wenig Luxus. Ansonsten mag ich momentan auch KurkumaIngwer sehr gerne, der letzte ist aber ziemlich scharf geworden weil ich ihn zu lange habe stehen lassen.;Grünen Tee mit Zitrone mag ich auch sehr gerne, oder Ingwer. . Ansonsten trinke ich super gerne Matcha, das ist ja quasi ein grüner Tee, und ChaiTee. Und du?;Was hast du morgen so vor?;Super cool!
107CA776-D145-477B-BB14-AA144A41CE5C;speaker2;Solltest du dann vielleicht auch mal machen . Ich finde die auch immer sehr lecker. Also am besten noch mit etwas Limette oder Zitrone. Ich habe gesehen, dass es davon auch immer mehr in Cafes und im Biomarkt gibt.;extrovert;Schon irgendwie . die Shots habe ich noch nicht probiert, nur Kurkuma oder nur Ingwer.;Da passen wir ja gut zusammen .  Magst du denn auch so KurkumaIngwer Shots oder nur Tee?;So richtig guten Matcha hätte ich auch mal gerne. Ist allerdings schon ein wenig Luxus. Ansonsten mag ich momentan auch KurkumaIngwer sehr gerne, der letzte ist aber ziemlich scharf geworden weil ich ihn zu lange habe stehen lassen.;Ich bin vegan.;Wie meinst du das?
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker1;Hello.;extrovert;Hi!;Hallo;Hi;Ich liebe Eis.;Super cool!
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker2;Hallo!;extrovert;Hello.;Hallo;Hi;Was ist dein Lieblingsessen?;Ich bin vegan.
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker1;Wie geht es dir?;extrovert;Hallo!;Hello.;Hi;Ich mag Suppe.;Super cool!
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker2;Wunderbar  obwohl, ich bin gerade geimpft worden... Wer weiß also, wie lange das Wohlsein noch bleibt... Und wie geht es dir?;extrovert;Wie geht es dir?;Hallo!;Hello.;Was hast du morgen so vor?;Wie meinst du das?
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker1;Aber selbst wenn Nebenwirkungen auftreten, dann war die Impfung es doch trotzdem wert oder nicht? Mir geht es ganz gut, dem Wetter entsprechend halt.;extrovert;Wunderbar  obwohl, ich bin gerade geimpft worden... Wer weiß also, wie lange das Wohlsein noch bleibt... Und wie geht es dir?;Wie geht es dir?;Hallo!;Das tur mir leid.;Ich liebe Eis.
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker2;Ja, das stimmt. Hauptsache geimpft. Obwohl, man muss ja noch auf die Zweite warten...  Ist es so heiß bei dir?;extrovert;Aber selbst wenn Nebenwirkungen auftreten, dann war die Impfung es doch trotzdem wert oder nicht? Mir geht es ganz gut, dem Wetter entsprechend halt.;Wunderbar  obwohl, ich bin gerade geimpft worden... Wer weiß also, wie lange das Wohlsein noch bleibt... Und wie geht es dir?;Wie geht es dir?;Das tur mir leid.;Das tur mir leid.
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker1;Ja das stimmt, mit welchem Impfstoff wurdest du denn geimpft?;extrovert;Ja, das stimmt. Hauptsache geimpft. Obwohl, man muss ja noch auf die Zweite warten...  Ist es so heiß bei dir?;Aber selbst wenn Nebenwirkungen auftreten, dann war die Impfung es doch trotzdem wert oder nicht? Mir geht es ganz gut, dem Wetter entsprechend halt.;Wunderbar  obwohl, ich bin gerade geimpft worden... Wer weiß also, wie lange das Wohlsein noch bleibt... Und wie geht es dir?;Wie meinst du das?;Ich bin vegan.
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker2;Biontech. Der Arzt hat sogar nur Biontech.;extrovert;Ja das stimmt, mit welchem Impfstoff wurdest du denn geimpft?;Ja, das stimmt. Hauptsache geimpft. Obwohl, man muss ja noch auf die Zweite warten...  Ist es so heiß bei dir?;Aber selbst wenn Nebenwirkungen auftreten, dann war die Impfung es doch trotzdem wert oder nicht? Mir geht es ganz gut, dem Wetter entsprechend halt.;Das hab ich nicht verstanden.;Was ist dein Lieblingsessen?
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker1;Nein keine Klimaanlage, das Thermostat zeigt 26 Grad, ist also noch erträglich, aber die Luft ist etwas stickig. Oh cool, also hast du dann Ende Juli die 2. Impfung.;extrovert;Biontech. Der Arzt hat sogar nur Biontech.;Ja das stimmt, mit welchem Impfstoff wurdest du denn geimpft?;Ja, das stimmt. Hauptsache geimpft. Obwohl, man muss ja noch auf die Zweite warten...  Ist es so heiß bei dir?;Das tur mir leid.;Ich mag Suppe.
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker2;Ja, die Luft ist wirklich stickig. Bei mir aktuell auch. Und eben ist mir eingefallen, dass unser Büro ja eine Klimaanlage hat Ein guter Grund mal wieder ins Büro zu gehen.  Ja, Ende Juli ist alles durch. Dann kann selbst Delta kommen .;extrovert;Nein keine Klimaanlage, das Thermostat zeigt 26 Grad, ist also noch erträglich, aber die Luft ist etwas stickig. Oh cool, also hast du dann Ende Juli die 2. Impfung.;Biontech. Der Arzt hat sogar nur Biontech.;Ja das stimmt, mit welchem Impfstoff wurdest du denn geimpft?;Was ist dein Hobby?;Was ist dein Hobby?
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker1;Unser Büro hat auch eine Klimaanlage, aber da fehlt mir dann doch die Motivation dorthin zu fahren . Na sag das lieber nicht zu laut!;extrovert;Ja, die Luft ist wirklich stickig. Bei mir aktuell auch. Und eben ist mir eingefallen, dass unser Büro ja eine Klimaanlage hat Ein guter Grund mal wieder ins Büro zu gehen.  Ja, Ende Juli ist alles durch. Dann kann selbst Delta kommen .;Nein keine Klimaanlage, das Thermostat zeigt 26 Grad, ist also noch erträglich, aber die Luft ist etwas stickig. Oh cool, also hast du dann Ende Juli die 2. Impfung.;Biontech. Der Arzt hat sogar nur Biontech.;Wie meinst du das?;Ich mag Suppe.
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker2;Da bin ich auch mal gespannt, ob meine Motivation ausreicht, um dorthin zu fahren. Wir werden sehen. ;extrovert;Unser Büro hat auch eine Klimaanlage, aber da fehlt mir dann doch die Motivation dorthin zu fahren . Na sag das lieber nicht zu laut!;Ja, die Luft ist wirklich stickig. Bei mir aktuell auch. Und eben ist mir eingefallen, dass unser Büro ja eine Klimaanlage hat Ein guter Grund mal wieder ins Büro zu gehen.  Ja, Ende Juli ist alles durch. Dann kann selbst Delta kommen .;Nein keine Klimaanlage, das Thermostat zeigt 26 Grad, ist also noch erträglich, aber die Luft ist etwas stickig. Oh cool, also hast du dann Ende Juli die 2. Impfung.;Was ist dein Hobby?;Ich liebe Eis.
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker1;Hast du einen längeren Arbeitsweg?;extrovert;Da bin ich auch mal gespannt, ob meine Motivation ausreicht, um dorthin zu fahren. Wir werden sehen. ;Unser Büro hat auch eine Klimaanlage, aber da fehlt mir dann doch die Motivation dorthin zu fahren . Na sag das lieber nicht zu laut!;Ja, die Luft ist wirklich stickig. Bei mir aktuell auch. Und eben ist mir eingefallen, dass unser Büro ja eine Klimaanlage hat Ein guter Grund mal wieder ins Büro zu gehen.  Ja, Ende Juli ist alles durch. Dann kann selbst Delta kommen .;Ich liebe Eis.;Was ist dein Hobby?
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker2;Bezüglich vegan Ich leider nicht, dafür mag ich viele Sachen viel zu gerne. Aber ich versuche nur gutes Fleisch zu essen. Flexitarier nennt man das, glaube ich. Vielleicht komme ich irgendwann mal dazu, auch Veganer zu sein. Noch vor ein paar Monaten hatte ich einen sehr kurzen Arbeitsweg, aber jetzt bin ich umgezogen und jetzt ist er etwas länger geworden. Aber mit dem Fahrrad ist es noch möglich, dorthin zu kommen.;extrovert;Hast du einen längeren Arbeitsweg?;Da bin ich auch mal gespannt, ob meine Motivation ausreicht, um dorthin zu fahren. Wir werden sehen. ;Unser Büro hat auch eine Klimaanlage, aber da fehlt mir dann doch die Motivation dorthin zu fahren . Na sag das lieber nicht zu laut!;Wie meinst du das?;Ich liebe Eis.
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker1;Das ist ja schon mal ein guter Anfang . Du fährst also mit dem Fahrrad immer zur Arbeit? Das ist sehr vorbildlich.;extrovert;Bezüglich vegan Ich leider nicht, dafür mag ich viele Sachen viel zu gerne. Aber ich versuche nur gutes Fleisch zu essen. Flexitarier nennt man das, glaube ich. Vielleicht komme ich irgendwann mal dazu, auch Veganer zu sein. Noch vor ein paar Monaten hatte ich einen sehr kurzen Arbeitsweg, aber jetzt bin ich umgezogen und jetzt ist er etwas länger geworden. Aber mit dem Fahrrad ist es noch möglich, dorthin zu kommen.;Hast du einen längeren Arbeitsweg?;Da bin ich auch mal gespannt, ob meine Motivation ausreicht, um dorthin zu fahren. Wir werden sehen. ;Ich bin vegan.;Was hast du morgen so vor?
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker2;Und ich finde es so schwer, gute Rezepte zu finden. Aber gut, wenn ich ehrlich bin, habe ich auch noch nie äußerst lange danach gesucht. Ich bräuchte einen Personal Veganer Trainer, denke ich.;extrovert;Das ist ja schon mal ein guter Anfang . Du fährst also mit dem Fahrrad immer zur Arbeit? Das ist sehr vorbildlich.;Bezüglich vegan Ich leider nicht, dafür mag ich viele Sachen viel zu gerne. Aber ich versuche nur gutes Fleisch zu essen. Flexitarier nennt man das, glaube ich. Vielleicht komme ich irgendwann mal dazu, auch Veganer zu sein. Noch vor ein paar Monaten hatte ich einen sehr kurzen Arbeitsweg, aber jetzt bin ich umgezogen und jetzt ist er etwas länger geworden. Aber mit dem Fahrrad ist es noch möglich, dorthin zu kommen.;Hast du einen längeren Arbeitsweg?;Ich mag Suppe.;Wie meinst du das?
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker1;Ach nein, eigentlich ist mir die Ernähung von anderen ziemlich egal, solange man meine Ernährung nicht kritisiert.;extrovert;Und ich finde es so schwer, gute Rezepte zu finden. Aber gut, wenn ich ehrlich bin, habe ich auch noch nie äußerst lange danach gesucht. Ich bräuchte einen Personal Veganer Trainer, denke ich.;Das ist ja schon mal ein guter Anfang . Du fährst also mit dem Fahrrad immer zur Arbeit? Das ist sehr vorbildlich.;Bezüglich vegan Ich leider nicht, dafür mag ich viele Sachen viel zu gerne. Aber ich versuche nur gutes Fleisch zu essen. Flexitarier nennt man das, glaube ich. Vielleicht komme ich irgendwann mal dazu, auch Veganer zu sein. Noch vor ein paar Monaten hatte ich einen sehr kurzen Arbeitsweg, aber jetzt bin ich umgezogen und jetzt ist er etwas länger geworden. Aber mit dem Fahrrad ist es noch möglich, dorthin zu kommen.;Ich bin vegan.;Was ist dein Hobby?
2126CEFC-9F96-4E80-913A-707376E5CE17;speaker2;Mal mit dem Fahrrad, mal zu Fuß und mal auch mit dem Auto  wenn es schnell gehen muss . Ja, das sehe ich genauso. Aber reden kann man ja darüber .;extrovert;Ach nein, eigentlich ist mir die Ernähung von anderen ziemlich egal, solange man meine Ernährung nicht kritisiert.;Und ich finde es so schwer, gute Rezepte zu finden. Aber gut, wenn ich ehrlich bin, habe ich auch noch nie äußerst lange danach gesucht. Ich bräuchte einen Personal Veganer Trainer, denke ich.;Das ist ja schon mal ein guter Anfang . Du fährst also mit dem Fahrrad immer zur Arbeit? Das ist sehr vorbildlich.;Wie meinst du das?;Ich liebe Eis.
